,f1-score,precision,recall,support
angry,0.6875,0.6875,0.6875,32.0
calm,0.43333333333333324,0.3939393939393939,0.48148148148148145,27.0
disgust,0.56,0.56,0.56,25.0
fearful,0.6478873239436619,0.6216216216216216,0.6764705882352942,34.0
happy,0.42857142857142855,0.42857142857142855,0.42857142857142855,28.0
neutral,0.33333333333333337,0.3448275862068966,0.3225806451612903,31.0
sad,0.456140350877193,0.4642857142857143,0.4482758620689655,29.0
surprise,0.3181818181818182,0.3684210526315789,0.28,25.0
accuracy,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.4935064935064935
macro avg,0.483118448530096,0.48364584965707924,0.48561000068980753,231.0
weighted avg,0.49023427695844973,0.4897660864674795,0.4935064935064935,231.0
