,f1-score,precision,recall,support
angry,0.7727272727272727,0.85,0.7083333333333334,24.0
calm,0.4,0.3111111111111111,0.56,25.0
disgust,0.6493506493506493,0.5813953488372093,0.7352941176470589,34.0
fearful,0.6785714285714285,0.7307692307692307,0.6333333333333333,30.0
happy,0.49230769230769234,0.48484848484848486,0.5,32.0
neutral,0.4383561643835617,0.48484848484848486,0.4,40.0
sad,0.5161290322580645,0.7272727272727273,0.4,40.0
surprised,0.6557377049180328,0.625,0.6896551724137931,29.0
accuracy,0.562992125984252,0.562992125984252,0.562992125984252,0.562992125984252
macro avg,0.5753974930645878,0.599405673460906,0.5783269945909398,254.0
weighted avg,0.5666542005616284,0.5983988053595268,0.562992125984252,254.0
