,f1-score,precision,recall,support
angry,0.8656716417910447,0.8529411764705882,0.8787878787878788,33.0
calm,0.7536231884057971,0.7428571428571429,0.7647058823529411,34.0
disgust,0.6666666666666667,0.6333333333333333,0.7037037037037037,27.0
fearful,0.7241379310344827,0.7,0.75,28.0
happy,0.5853658536585366,0.6666666666666666,0.5217391304347826,23.0
sad,0.721311475409836,0.7857142857142857,0.6666666666666666,33.0
surprise,0.5882352941176471,0.5555555555555556,0.625,24.0
accuracy,0.7128712871287128,0.7128712871287128,0.7128712871287128,0.7128712871287128
macro avg,0.7007160072977159,0.7052954515139389,0.7015147517065676,202.0
weighted avg,0.7121314605710969,0.7163338602767839,0.7128712871287128,202.0
