,f1-score,precision,recall,support
angry,0.958904109589041,0.9210526315789473,1.0,35.0
calm,0.8780487804878049,0.9473684210526315,0.8181818181818182,44.0
disgust,0.693877551020408,0.6538461538461539,0.7391304347826086,23.0
fearful,0.711111111111111,0.7272727272727273,0.6956521739130435,23.0
happy,0.6538461538461539,0.7083333333333334,0.6071428571428571,28.0
sad,0.75,0.6585365853658537,0.8709677419354839,31.0
surprised,0.704225352112676,0.7575757575757576,0.6578947368421053,38.0
accuracy,0.7792792792792793,0.7792792792792793,0.7792792792792793,0.7792792792792793
macro avg,0.7642875797381706,0.7677122300036292,0.7698528232568452,222.0
weighted avg,0.7785080409643189,0.7870388881300305,0.7792792792792793,222.0
