,f1-score,precision,recall,support
angry,0.7999999999999999,0.9473684210526315,0.6923076923076923,26.0
calm,0.8148148148148148,0.7333333333333333,0.9166666666666666,24.0
disgust,0.5588235294117647,0.5135135135135135,0.6129032258064516,31.0
fearful,0.6923076923076923,0.8181818181818182,0.6,30.0
happy,0.410958904109589,0.35714285714285715,0.4838709677419355,31.0
sad,0.4838709677419355,0.4838709677419355,0.4838709677419355,31.0
surprise,0.28,0.3333333333333333,0.2413793103448276,29.0
accuracy,0.5643564356435643,0.5643564356435643,0.5643564356435643,0.5643564356435643
macro avg,0.5772537011979708,0.5981063206142032,0.5758569758013585,202.0
weighted avg,0.5658813948710312,0.5863071665833521,0.5643564356435643,202.0
