,f1-score,precision,recall,support
angry,0.6093750000000001,0.5652173913043478,0.6610169491525424,59.0
calm,0.5785123966942148,0.4430379746835443,0.8333333333333334,42.0
disgust,0.5531914893617021,0.7222222222222222,0.4482758620689655,58.0
fearful,0.5087719298245614,0.48333333333333334,0.5370370370370371,54.0
happy,0.434108527131783,0.56,0.35443037974683544,79.0
neutral,0.3050847457627119,0.24324324324324326,0.4090909090909091,22.0
sad,0.3333333333333333,0.5161290322580645,0.24615384615384617,65.0
surprise,0.5691056910569106,0.5,0.660377358490566,53.0
accuracy,0.5023148148148148,0.5023148148148148,0.5023148148148148,0.5023148148148148
macro avg,0.4864353891456521,0.5041478996305944,0.5187144593842543,432.0
weighted avg,0.49223412638318403,0.5314445563904625,0.5023148148148148,432.0
