,f1-score,precision,recall,support
angry,0.6101694915254238,0.5806451612903226,0.6428571428571429,28.0
calm,0.463768115942029,0.41025641025641024,0.5333333333333333,30.0
disgust,0.43749999999999994,0.4666666666666667,0.4117647058823529,34.0
fearful,0.5185185185185185,0.6086956521739131,0.45161290322580644,31.0
happy,0.41379310344827586,0.36363636363636365,0.48,25.0
neutral,0.35999999999999993,0.34615384615384615,0.375,24.0
sad,0.3571428571428571,0.4,0.3225806451612903,31.0
surprise,0.5,0.5416666666666666,0.4642857142857143,28.0
accuracy,0.4588744588744589,0.4588744588744589,0.4588744588744589,0.4588744588744589
macro avg,0.457611510822138,0.4647150958555236,0.4601793055932051,231.0
weighted avg,0.45888796308520463,0.46868942326037827,0.4588744588744589,231.0
