,f1-score,precision,recall,support
angry,0.5736434108527132,0.5138888888888888,0.6491228070175439,57.0
calm,0.6190476190476191,0.48148148148148145,0.8666666666666667,45.0
disgust,0.6597938144329897,0.7111111111111111,0.6153846153846154,52.0
fearful,0.5391304347826086,0.6078431372549019,0.484375,64.0
happy,0.5087719298245613,0.5576923076923077,0.46774193548387094,62.0
neutral,0.3157894736842105,0.2647058823529412,0.391304347826087,23.0
sad,0.4672897196261682,0.5681818181818182,0.3968253968253968,63.0
surprise,0.6386554621848739,0.7169811320754716,0.5757575757575758,66.0
accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
macro avg,0.540265233054468,0.5527357198798653,0.5558972931202195,432.0
weighted avg,0.5550138283260645,0.5801375915020862,0.5555555555555556,432.0
